deputado_url;eleito;votes;votes%;votes_by_city_url;img;nomeCompleto;desc;Nome na urna;Sexo;Idade;Data de nascimento;Ocupação;Grau de instrução;Estado Civil;Cor/Raça;Município de nascimento;Número;Situação da candidatura;Estado;Partido;Coligação;Composição
rogerio-tavares-51678;Não foi eleito;547;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-rogerio-tavares-51678/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/rogerio-tavares-51678.jpg;Rogerio Tavares da Silva;Solteiro(a),  Servidor Público Municipal,       nascido  em 02/01/1979  em Barreiras-BA,  candidato  a Deputado Estadual  na Bahia  pelo PATRI - Patriota;Rogerio Tavares;Masculino;43 anos;02/01/1979;Servidor Público Municipal;Superior completo;Solteiro(a);Branca;Barreiras-BA;51678;Deferido;BAHIA;PATRI - Patriota;COLIGAÇÃO REDE PATRIOTA DA BAHIA;PATRI / REDE
vanderson-schramm-50321;Não foi eleito;547;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-vanderson-schramm-50321/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/vanderson-schramm-50321.jpg;Vanderson Sousa Schramm;Solteiro(a),  Advogado,       nascido  em 10/07/1985  em Aracas-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSOL - Partido Socialismo e Liberdade;Vanderson Schramm;Masculino;36 anos;10/07/1985;Advogado;Superior completo;Solteiro(a);Branca;Aracas-BA;50321;Deferido;BAHIA;PSOL - Partido Socialismo e Liberdade;PSOL;**
sueli-cabelinho-11567;Não foi eleita;524;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-sueli-cabelinho-11567/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/sueli-cabelinho-11567.jpg;Sueli Soares da Silva;Solteiro(a),        nascida  em 12/12/1965  em Itabuna-BA,  candidata  a Deputada Estadual  na Bahia  pelo PP - Progressistas;Sueli Cabelinho;Feminino;56 anos;12/12/1965;Outros;Ensino Médio incompleto;Solteiro(a);Parda;Itabuna-BA;11567;Deferido;BAHIA;PP - Progressistas;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
missionario-ailton-santana-27111;Não foi eleito;519;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-missionario-ailton-santana-27111/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/missionario-ailton-santana-27111.jpg;Ailton Souza Santana;Divorciado(a),  Produtor de Espetáculos Públicos,       nascido  em 06/11/1970  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo DC - Democracia Cristã;Missionário Ailton Santana;Masculino;51 anos;06/11/1970;Produtor de Espetáculos Públicos;Ensino Médio incompleto;Divorciado(a);Parda;Salvador-BA;27111;Deferido;BAHIA;DC - Democracia Cristã;PRA MUDAR DE VERDADE;MDB / DC
professor-jehorvan-65165;Não foi eleito;516;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-professor-jehorvan-65165/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/professor-jehorvan-65165.jpg;Jehorvan Carvalho de Melo;Divorciado(a),  Professor de Ensino Médio,       nascido  em 08/03/1965  em Itabuna-BA,  candidato  a Deputado Estadual  na Bahia  pelo PC do B - Partido Comunista do Brasil;Professor Jehorvan;Masculino;57 anos;08/03/1965;Professor de Ensino Médio;Superior completo;Divorciado(a);Branca;Itabuna-BA;65165;Deferido;BAHIA;PC do B - Partido Comunista do Brasil;PC do B;**
coronel-roberto-pinto-31190;Não foi eleito;504;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-coronel-roberto-pinto-31190/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/coronel-roberto-pinto-31190.jpg;Roberto dos Santos Pinto;Casado(a),  Policial Militar,       nascido  em 18/10/1958  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo PHS - Partido Humanista da Solidariedade;Coronel Roberto Pinto;Masculino;63 anos;18/10/1958;Policial Militar;Superior completo;Casado(a);Parda;Salvador-BA;31190;Deferido;BAHIA;PHS - Partido Humanista da Solidariedade;RENOVA BAHIA;PHS / PPS / PRTB / PSL
pastor-gilberto-51451;Não foi eleito;502;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-pastor-gilberto-51451/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/pastor-gilberto-51451.jpg;Gilberto dos Santos;Casado(a),        nascido  em 03/10/1977  em Jequié-BA,  candidato  a Deputado Estadual  na Bahia  pelo PATRI - Patriota;Pastor Gilberto;Masculino;44 anos;03/10/1977;Outros;Ensino Médio completo;Casado(a);Parda;Jequié-BA;51451;Deferido;BAHIA;PATRI - Patriota;COLIGAÇÃO REDE PATRIOTA DA BAHIA;PATRI / REDE
ailton-santiago-50507;Não foi eleito;494;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-ailton-santiago-50507/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/ailton-santiago-50507.jpg;Ailton Ferreira de Santiago;Casado(a),  Auxiliar de Escritório e Assemelhados,       nascido  em 10/09/1961  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSOL - Partido Socialismo e Liberdade;Ailton Santiago;Masculino;60 anos;10/09/1961;Auxiliar de Escritório e Assemelhados;Ensino Médio completo;Casado(a);Preta;Salvador-BA;50507;Deferido;BAHIA;PSOL - Partido Socialismo e Liberdade;PSOL;**
sol-protetora-51197;Não foi eleita;491;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-sol-protetora-51197/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/sol-protetora-51197.jpg;Maria Alice Pereira de Jesus;Solteiro(a),        nascida  em 23/09/1968  em Salvador-BA,  candidata  a Deputada Estadual  na Bahia  pelo PATRI - Patriota;Sol Protetora;Feminino;53 anos;23/09/1968;Outros;Superior completo;Solteiro(a);Parda;Salvador-BA;51197;Deferido;BAHIA;PATRI - Patriota;COLIGAÇÃO REDE PATRIOTA DA BAHIA;PATRI / REDE
dra-cinthia-10888;Não foi eleita;491;0,01%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-dra-cinthia-10888/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/dra-cinthia-10888.jpg;Barbara Cinthia Lima Souza;Divorciado(a),  Advogado,       nascida  em 25/11/1976  em Jacobina-BA,  candidata  a Deputada Estadual  na Bahia  pelo PRB - Partido Republicano Brasileiro;Dra. Cinthia;Feminino;45 anos;25/11/1976;Advogado;Superior completo;Divorciado(a);Branca;Jacobina-BA;10888;Deferido;BAHIA;PRB - Partido Republicano Brasileiro;POR UMA BAHIA MELHOR;DEM / PRB / PV / PSDB
